epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2838.55,0.42952,0.82839,0.79749,0.49889,0.98746,0.53977,0.49282,0.38706,0.81629,0.79272,0.000462281,0.000462281,0.000462281
43,2880.15,0.42621,0.82483,0.79891,0.49894,0.98617,0.52528,0.48861,0.38332,0.80795,0.79433,0.000438703,0.000438703,0.000438703
44,2922.42,0.41965,0.82283,0.79545,0.49927,0.98607,0.5293,0.48662,0.39183,0.80764,0.79386,0.000415124,0.000415124,0.000415124
45,2964.7,0.41635,0.82091,0.80393,0.49876,0.98985,0.53017,0.49245,0.38586,0.80585,0.79362,0.000391546,0.000391546,0.000391546
46,3049.06,0.42446,0.82098,0.80333,0.49881,0.99163,0.51829,0.48086,0.36629,0.80085,0.79069,0.000367967,0.000367967,0.000367967
47,3140.96,0.40131,0.81868,0.80438,0.49985,0.99046,0.5219,0.48267,0.39273,0.80074,0.79154,0.000344389,0.000344389,0.000344389
48,3255.23,0.39474,0.81416,0.80203,0.50011,0.98779,0.52117,0.48661,0.36823,0.79504,0.79233,0.00032081,0.00032081,0.00032081
49,3328.84,0.39746,0.81604,0.79898,0.50103,0.98533,0.52219,0.47993,0.37901,0.80053,0.79311,0.000297232,0.000297232,0.000297232
50,3433.55,0.39434,0.81282,0.79794,0.49962,0.99112,0.53211,0.49471,0.37027,0.79737,0.79125,0.000273654,0.000273654,0.000273654
51,3558.34,0.38291,0.80669,0.79103,0.49964,0.99046,0.53029,0.49256,0.38953,0.80473,0.79158,0.000250075,0.000250075,0.000250075
52,3674.08,0.38136,0.8033,0.78714,0.50003,0.99029,0.53564,0.49924,0.3681,0.79785,0.78829,0.000226497,0.000226497,0.000226497
53,3810.68,0.36418,0.80233,0.78853,0.49948,0.98827,0.52887,0.4919,0.35829,0.7936,0.79002,0.000202918,0.000202918,0.000202918
54,3946.16,0.36617,0.80053,0.78419,0.49985,0.98827,0.5331,0.49805,0.35483,0.79403,0.78852,0.00017934,0.00017934,0.00017934
55,4084.65,0.36301,0.79438,0.78684,0.49995,0.9899,0.53126,0.49258,0.35279,0.79498,0.78726,0.000155761,0.000155761,0.000155761
56,4224.17,0.35614,0.79436,0.79175,0.49976,0.98827,0.52651,0.49416,0.34406,0.78818,0.78589,0.000132183,0.000132183,0.000132183
57,4362.17,0.34417,0.79338,0.78751,0.50082,0.99372,0.52899,0.49649,0.34083,0.78999,0.78639,0.000108604,0.000108604,0.000108604
58,4501.49,0.34552,0.79231,0.78962,0.49968,0.98827,0.53533,0.5011,0.33755,0.78848,0.78532,8.50255e-05,8.50255e-05,8.50255e-05
59,4591.55,0.34312,0.78958,0.7886,0.5,0.99026,0.53505,0.50436,0.33402,0.78414,0.78559,6.1447e-05,6.1447e-05,6.1447e-05
60,4711.56,0.32959,0.7864,0.78383,0.5,0.99033,0.53021,0.50007,0.33055,0.78398,0.78471,3.78685e-05,3.78685e-05,3.78685e-05
